date,time,name,images,logo,category,details,instructions,tagline,priceline,developer,timeline,info,verification,help,privacy_policy,url 
2022-01-08,06:55:11 PM,Zuora,"https://d3h0owdjgzys62.cloudfront.net/images/87921/live_screenshot/large2x/3.png, https://d3h0owdjgzys62.cloudfront.net/images/87921/live_screenshot/large2x/2.png, https://d3h0owdjgzys62.cloudfront.net/images/87921/live_screenshot/large2x/1.png",https://d3h0owdjgzys62.cloudfront.net/images/87921/live_cover_art/thumb2x/zuora_400x400.png,"Payments, Accounting & Billing","The Freshsales-Zuora integration gives sales reps invoice related data where it's needed most - inside Freshsales. Setting up the integration takes only a minute. You'll then be able to manage your invoices within Freshsales.

The Freshsales - Zuora integration enables users to:

View subscriptions and invoices of your Leads/Contacts from within Freshsales.
Get a summary of total paid and unpaid amount for each Lead/Contact/Account.
Get a summary of active/inactive subscriptions for each Lead/Contact/Account.
Search for Zuora invoice without having to leave Freshsales. 

The Freshsales-Zuora integration, for example, helps sales reps get context about unpaid invoices right from within Freshsales before they get on a call with customers and eliminates the need to switch between the CRM and Zuora.",,"Manage Zuora Subscriptions, Invoices and payments inside Freshsales",Free,Published by Freshsales,About 4 months ago in,"Works with
             
                  Freshsales Classic",Verified by Freshworks,"mailto:support@freshsales.io, https://support.freshsales.io/",,https://www.freshworks.com/apps/freshsales/zuora/
2022-01-08,06:55:23 PM,Google task,"https://youtu.be/OpNDkRZ20eU, https://d3h0owdjgzys62.cloudfront.net/images/38204/live_screenshot/large2x/scr_06_freshsales.png, https://d3h0owdjgzys62.cloudfront.net/images/38204/live_screenshot/large2x/scr_04_freshsales.png, https://d3h0owdjgzys62.cloudfront.net/images/38204/live_screenshot/large2x/scr_03_freshsales.png, https://d3h0owdjgzys62.cloudfront.net/images/38204/live_screenshot/large2x/scr_02_freshsales.png, https://d3h0owdjgzys62.cloudfront.net/images/38204/live_screenshot/large2x/scr_01_freshsales.png",https://d3h0owdjgzys62.cloudfront.net/images/38204/live_cover_art/thumb2x/logo_Gtask_for_fresh_sales.png,"Data Sync & Migration,, Reporting & Analytics","The Gtask app integrates your Google account with Freshsales and syncs Google Tasks with the tasks you create in the freshsales, leading to better and more efficient task management. 
By integrating Gtask with Freshsales, you can empower your sales agents to be more productive and stay on top of their game so they don’t lose any more opportunities. 
Don’t let those exorbitant sales activities and tasks bring your sales people to their knees. Give them the right tools so they can seize those opportunities by being right on time. 
Features of Gtask app:
-	One way sync with Google Tasks: Google Tasks is updated with the relevant fields whenever a task is created in Freshsales. 
-	Task deletion and removal: Google Tasks is updated and the task removed when its deleted from the frershsales.
-	Changing task assignee: Task is synced with another agent’s account when it’s assigned to them and deleted from previous assignee’s account.","-	To install the app, navigate to the small gear icon on the left-side menu. 
-	Navigate to Marketplace Apps under Marketplace and Integrations section. 
-	Search for Gtask using the search bar and install the app. 
-	If it’s your first time using this app, you’ll be required to sign up. 
-	On the next screen, enter your License Key, which you received when purchasing the app from Codup’s official store. If you haven’t purchased the app yet, time to do it now. Click here to purchase the app. 
-	Next, enter your Freshsales domain and API key and click Validate. The app is now installed. 
-	To integrate your Google Account, go to the Contacts screen and under any contact, you’ll see the Gtask for Freshsales tab. You’ll see an option ‘Validate Google Account’ under that tab. Clicking that button will open a modal where you need to enter your Google Account credentials. Once done, you’ll see a success message that your account is successfully validated.",Manage your tasks more effectively by keeping Google Tasks synced with Freshsales,Free,Published by Codup.io,About 8 months ago in,"Works with
             
                  Freshsales Classic",Verified by Freshworks,"mailto:fwsupport@codup.io, https://codupio.freshdesk.com",https://codup.co/privacy-policy/,https://www.freshworks.com/apps/freshsales/google_task/
2022-01-08,06:55:24 PM,Cloud Storage,,https://d3h0owdjgzys62.cloudfront.net/images/6113/live_cover_art/thumb2x/api_integrations.png,"Agent Productivity,, File Sharing & Collaboration","Installing the Cloud Storage app for Freshdesk allows you to insert links in tickets to any file in 20+ cloud storage platforms via the Kloudless unified interface to cloud storage.

Agents and customers can share data from any cloud storage service without the need for attachments to be transmitted back and forth. Since the files are not stored in Freshdesk, there are no size limits or upload requirements.

Supported cloud storage platforms include:
* Dropbox
* Box
* Google Drive
* OneDrive
* Citrix Sharefile
* SugarSync
* Egnyte
* Evernote
* SharePoint Online
* OneDrive for Business
* CMIS
* Alfresco
* Alfresco Cloud
* Salesforce Files
* HubSpot Files
* SMB
* Jive
* WebDAV
* Adobe CQ5
* FTP
* Amazon S3
* Azure Blob Storage

For the latest list, check out https://developers.kloudless.com/docs/v1/storage",,"Access files in Google Drive, Box, Dropbox, Office 365, and 15+ other cloud storage services.",Paid,Published by Kloudless Dev,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:support@kloudless.com, https://support.kloudless.com",,https://www.freshworks.com/apps/freshdesk/cloud_storage/
2022-01-08,06:55:35 PM,Magento 2,"https://d3h0owdjgzys62.cloudfront.net/images/10523/live_screenshot/large2x/Order_filters_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/10523/live_screenshot/large2x/Order_detail_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/10523/live_screenshot/large2x/app_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/10523/live_screenshot/large2x/Installation_freshworks_crm.png",https://d3h0owdjgzys62.cloudfront.net/images/10523/live_cover_art/thumb2x/m2.png,Lead Intelligence & Information,"Magento 2 app for the CRM gives you an extra edge towards your eCommerce Leads and Contacts by sharing their existing Orders directly inside the CRM, which helps you make better sales-driven decisions and recognize the potential of your customers.

Note: Works only for Magento 2.x versions.

On every Contact CRM page, you're able to view their recent orders and specific order details to help gain more info about the connections.

Key features:
- List orders from all Magento stores in your account
- Filter Orders by Stores and Time
- Get details for each order inside the CRM","To access Magento customer details in the CRM:

On Magento:
A new integration needs to be created inside the Magento Admin dashboard.

Steps:
1. Log in to Admin and click System > Integrations to display the Integrations page.
2. Click Add New Integration to display the New Integration page.
3. Enter a unique name for the integration in the Name field. Then enter your admin password in the Your Password field. Leave all other fields blank.
4. Click the API tab. Select ""Custom"" in resource access. Select ""Sales"", ""Catalog"", ""Customers"" and ""Stores"" from the resources tree.
4. Click Save to save your changes and return to the Integrations page.
5. Click the Activate link in the grid that corresponds to the newly-created integration.
6. Click Allow for allowing access to presented resources.
7. You'll be presented with API tokens. Copy ""Access Token"" into the clipboard.

On the CRM:
Steps:
1. Go to Admin Section (from left sidebar)
2. Select Apps --> Magento.
3. Click on Install
4. In the app configuration page, enter the Shop Name and URL
5. Paste the Access Token, Store URL & the CRM API key (available under Profile Settings > API Settings, accessible from top right menu) into their relevant fields.
6. Click on Enable",Check your Lead/Contact orders from your Magento 2 store directly inside the CRM.,Free,Published by effy,About about 1 year ago in,"Works with
             
                  Freshsales Suite",Verified by Freshworks,"mailto:support@effy.co.in, https://effy.freshdesk.com/",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshworks_crm/magento_2x/
2022-01-08,06:55:37 PM,Servicebot for Slack,"https://d3h0owdjgzys62.cloudfront.net/images/53163/live_screenshot/large2x/01_Deflect_tickets_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/53163/live_screenshot/large2x/02_Automatic_resolve_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/53163/live_screenshot/large2x/03_On_demand_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/53163/live_screenshot/large2x/04_Create_tickets_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/53163/live_screenshot/large2x/05_Resolve_tickets_freshservice.png",https://d3h0owdjgzys62.cloudfront.net/images/53163/live_cover_art/thumb2x/Slack_Mark_Web.png,"Agent Productivity,, Bots & Workflows","Servicebot in Freshservice is a virtual agent that uses natural language processing and machine learning to understand end user queries and assists them by providing solutions and in raising service requests. 

Key features of Servicebot include:

• Conversational support - Users can now chat with Servicebot to get assistance. Servicebot uses Natural Language Processing (NLP) to understand user queries and provides users with relevant information.* 
• Ticket deflection - Deflect L1 tickets by providing relevant knowledge base articles and relieve service desk agents from monotonous and repetitive tasks.*
• One-click access - Users can use the Home tab to fetch, filter and track specific incidents and service requests. 
• Instant updates - Freshservice groups can be mapped to Slack channels which are notified whenever a ticket is assigned to the group. Requesters also get notified whenever there's an update on their ticket.
• Faster approvals - Agents and Requesters are notified about service requests and change approvals assigned to them. They can take action on approvals within Slack!

With Servicebot, your internal support is fast, streamlined and offers the best employee experience. 

*Features available only in the Enterprise plan","In order to set up Servicebot for Slack, follow the steps below

1. Log into your Freshservice account, and navigate to Admin → Apps → Get More Apps → Search for Servicebot for Slack.
2. Navigate to the app listing and click on the Install button.
3. In the next screen, you’ll be asked permission to allow Servicebot to access your workspace. You can give permission to Servicebot by clicking on Allow.

Your virtual agent is ready to go. If you wish to activate or deactivate Servicebot or wish to modify notification settings for your users, you can do it under Admin  -> Apps -> Servicebot for Slack",Provide instant resolution for your users and stay on top of your service desk with Servicebot,Free,Published by Freshworks,About 11 months ago in,"Works with
             
                  Freshservice",Verified by Freshworks,"mailto:support@freshservice.com, https://support.freshservice.com/en/support/solutions/50000000138",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshservice/service_bot_slack-freshservice/
2022-01-08,06:58:24 PM,Xero,"https://d3h0owdjgzys62.cloudfront.net/images/6188/live_screenshot/large2x/Xero_1.jpg, https://d3h0owdjgzys62.cloudfront.net/images/6188/live_screenshot/large2x/Xero_2.jpg",https://d3h0owdjgzys62.cloudfront.net/images/6188/live_cover_art/thumb2x/x.png,"Payments, Accounting & Billing","What does the integration of Freshsales with Xero offer?

1. View lead or contact invoices within Freshsales.
2. Get a summary of total paid and unpaid amount for each lead, contact, account, and deal.
3. Pin Xero invoices against your records in Freshsales.
4. Search for your Xero invoice without having to leave Freshsales.","1. Go to Admin Settings > Marketplace Apps.
2. Search for the Xero app and click Install. 
3. Click the 'Connect to Xero'  button. This opens up an authentication page for you to enter the credentials for your Xero account.
4. Enter your Xero credentials and click Sign In.
5. Upon successful sign in, you will be directed to an authentication page that requests you to allow access to the Freshsales account.
6. Click 'Allow Access'. You will be redirected to the Xero integrations page in Freshsales. You can find the company name and the email address that has been used to integrate your Xero account.  
7. Click 'Save' to activate the integration on Freshsales.",Manage payments and invoices for your leads and contacts in Freshsales by integrating with Xero.,Free,Published by Freshsales,About over 3 years ago in,"Works with
             
                  Freshsales Classic",Verified by Freshworks,"mailto:support@freshsales.io, https://support.freshsales.io/support/home/",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshsales/xero_invoice_fsales/
2022-01-08,06:59:31 PM,TokBox,"https://d3h0owdjgzys62.cloudfront.net/images/6837/live_screenshot/large2x/Screen_Shot_2018_09_11_at_5.38.04_PM.png, https://d3h0owdjgzys62.cloudfront.net/images/6837/live_screenshot/large2x/Screen_Shot_2018_09_11_at_5.38.19_PM.png, https://d3h0owdjgzys62.cloudfront.net/images/6837/live_screenshot/large2x/Screen_Shot_2018_09_11_at_5.38.39_PM.png",https://d3h0owdjgzys62.cloudfront.net/images/6837/live_cover_art/thumb2x/t_logo.png,"Chat, Video & Telephony","This integration provides the following features for Freshservice users:
1)Create a video or audio meeting from the Freshservice agent view with the click of a button
2)Easily share the meeting link and launch the video meeting without leaving Freshservice
3)Allow both the agent and customer to share their screen for faster resolution times","To install the TokBox app in Freshservice, follow these steps: 
1)Login to your support portal as an administrator.
2)Go to Admin > Helpdesk Productivity > Apps. 
3)Click on ""Get More Apps"" and select Tokbox.
4)Click on Install.","The TokBox integration for Freshservice allows agents to instantly do a live video or audio call with screen-sharing features, without leaving the Freshservice platform.",Free,Published by Freshworks,About 4 months ago in,"Works with
             
                  Freshservice",Verified by Freshworks,"mailto:support@freshservice.com, https://support.freshservice.com/support/home",,https://www.freshworks.com/apps/freshservice/tokbox/
2022-01-08,06:59:43 PM,Zendesk Sell,"https://d3h0owdjgzys62.cloudfront.net/images/77302/live_screenshot/large2x/Screenshot_1.png, https://d3h0owdjgzys62.cloudfront.net/images/77302/live_screenshot/large2x/Screenshot_2.png, https://d3h0owdjgzys62.cloudfront.net/images/77302/live_screenshot/large2x/Screenshot_3.png, https://d3h0owdjgzys62.cloudfront.net/images/77302/live_screenshot/large2x/Screenshot_4.png, https://d3h0owdjgzys62.cloudfront.net/images/77302/live_screenshot/large2x/Screenshot_5.png",https://d3h0owdjgzys62.cloudfront.net/images/77302/live_cover_art/thumb2x/logo.png,"CRM, Sales & Marketing","This integration allows teams to easily access contacts, deals, and tags with information from Zendesk Sell within Freshcaller through this app.

Once installed agents can perform the following tasks without leaving Freshcaller: 

* Access Zendesk Sell contacts, deals, and tags
* View deals associated with a contact
* View tags associated with a contact","1. In the Settings page, you will need to enter Username and Access token from your Zendesk Sell account to authenticate.
2. Once that's done, click the Install button to finish the installation

You are now good to go!",Integrate Zendesk Sell with Freshcaller to view relevant details about customers inside Freshcaller.,Free,Published by spritle,About 4 months ago in,"Works with
             
                  Freshdesk Contact Center",Verified by Freshworks,"mailto:spritlesupport@freshworks.com, https://www.spritle.com",,https://www.freshworks.com/apps/freshcaller/zendesk_sell/
2022-01-08,06:59:55 PM,Requester Info Plus,"https://d3h0owdjgzys62.cloudfront.net/images/6745/live_screenshot/large2x/Screenshot_5.png, https://d3h0owdjgzys62.cloudfront.net/images/6745/live_screenshot/large2x/Screenshot_4.png, https://d3h0owdjgzys62.cloudfront.net/images/6745/live_screenshot/large2x/Screenshot_2.png, https://d3h0owdjgzys62.cloudfront.net/images/6745/live_screenshot/large2x/Screenshot_1.png",https://d3h0owdjgzys62.cloudfront.net/images/6745/live_cover_art/thumb2x/pattern__2_.png,"Agent Productivity,, Knowledge & Content Management","Improve customer experience by showing more information about the requester with the use of customizable ticket fields.

This app allows you to add extra fields apart from the default Freshdesk ones so that you can show more information about your customer on the ticket detail page. For example, if you have extra fields like 'Registration Number' or 'Twitter Account' or 'Mobile phone number', you can simply add that as an extra field.

Once you add the fields, every time there is a ticket, there will be a widget on the right-hand side of the ticket detail page, showing extra information about the requester under the fields added.

Use this to get complete customer/requester info and provide better customer service","API key: Insert your Freshdesk API key
*Log in to your Freshdesk
*Click on your Profile Picture on the top right and select ""Profile Settings""
*In the sidebar on the right, you will find the API Key
*Copy-paste this at the app settings page
And you are good to go with Attachment manager app
Subdomain: Insert your Freshdesk subdomain
*Please enter subdomain of your Freshdesk account. Eg: www.<your_subdomain>.freshdesk.com",Customizable ticket field app displays relevant information about the requester in Freshdesk.,Free,Published by Spritle Software,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:spritlesupport@freshworks.com, https://www.spritle.com",,https://www.freshworks.com/apps/freshdesk/requester_info_plus/
2022-01-08,07:00:06 PM,Automerger,"https://d3h0owdjgzys62.cloudfront.net/images/63054/live_screenshot/large2x/Automerger_4_freshdesk.png, https://d3h0owdjgzys62.cloudfront.net/images/63054/live_screenshot/large2x/Automerger_3_freshdesk.png, https://d3h0owdjgzys62.cloudfront.net/images/63054/live_screenshot/large2x/Automerger_2_freshdesk.png, https://d3h0owdjgzys62.cloudfront.net/images/63054/live_screenshot/large2x/Automerger_1_freshdesk.png",https://d3h0owdjgzys62.cloudfront.net/images/63054/live_cover_art/thumb2x/Automerger_logo1.1.png,"Agent Productivity,, Bots & Workflows","The Automerger App will find the similar tickets based on the field selected, within the particular time frame.

APP working Principle:

The app finds duplicates based on ticket field values. You can choose multiple fields to act as the condition for finding duplicates.

 1. Group
 2. Status 
3. Priority 
4. Subject 
5. Requester (default)

Configuration page:

At the APP configuration page, the user is provisioned to enter the time frame and choose the ticket fields to find the duplicate tickets dynamically.

On APP Installation:

The APP will create new custom field in your domain for updating the primary ticket ID.
The custom field would be “Primary Ticket ID”.

On Creation of new ticket:

On creation of a ticket, the APP will read the matches of the subject line, email requester and find the existing tickets within the time boundary.
•	The merging here is the same as how we do in Freshdesk. The secondary ticket would be merged with the primary ticket and a note would be added in the secondary ticket for reference 
•	The custom field of the secondary ticket will be updated with the primary ticket ID. 

On Conversation:

•	If a reply is sent to the secondary ticket after merging, it would appear in the primary ticket as it would do in the normal merging in Freshdesk.
•	The conversations and other details like notes and attachments could be also be carried over.","1. Enter the Freshdesk URL 
     e.g. if your Freshdesk URL is xyz.freshdesk.com.
2. Enter the Freshdesk API key as generate in the first step. 
      Reference link:
      https://support.freshdesk.com/support/solutions/articles/215517-how-to-find-your-api-key
3.Enter the merge time span and in dropdown select minutes or hours
      e.g. 20
4.Click on validate button.
5.On successful validation the app will redirect to next page.
6.In this page you can select the fields for merging the tickets.",Merge duplicate tickets automatically in the stipulated time span.,Paid,Published by IdentifYou,About about 1 month ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:support@identifyyou.in, http://identifyyou.in",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshdesk/automerger/
2022-01-08,07:01:14 PM,Pipedrive,"https://d3h0owdjgzys62.cloudfront.net/images/87551/live_screenshot/large2x/pipe1C.png, https://d3h0owdjgzys62.cloudfront.net/images/87551/live_screenshot/large2x/pipe2C.png, https://d3h0owdjgzys62.cloudfront.net/images/87551/live_screenshot/large2x/pipe3C.png, https://d3h0owdjgzys62.cloudfront.net/images/87551/live_screenshot/large2x/pipe4C.png, https://d3h0owdjgzys62.cloudfront.net/images/87551/live_screenshot/large2x/pipe5C.png",https://d3h0owdjgzys62.cloudfront.net/images/87551/live_cover_art/thumb2x/logoChanged.png,"CRM, Sales & Marketing","The Pipedrive app allows you to view complete customer information including details of Freshchat user, associated organization and activities (Today’s & Future) right within your Freshchat inbox. If there is no PipeDrive entry for that customer, agents can simply create one with a single click. 

Primary features of the app are:


1.  The ‘Create Contact’ link creates a new contact inside PipeDrive CRM.
2.  Under Organization, on clicking Company link, an agent can see company details and can create a new deal by clicking ‘Create Deal’ link.
3.  Make the most of the Pipedrive app to gather all customer information and provide personalized and targeted customer support.","To install Pipedrive app
1) Log in to your Freshchat portal and head over to the Freshchat product gallery using link https://web.freshchat.com/a/<your_account_number>/apps
2) Select ‘All’ in Browse by category and search ‘Pipedrive’ app.
3) Once you choose Pipedrive, you will be redirected to the install page for the app.
4) Login to your Pipedrive portal.
5) Select User Settings from the top right drop down menu.
6) Make sure API is selected on left menu.
7) Copy API key and Pipedrive domain from the URL and click Install.
8) Now, you can view your ‘Pipedrive’ widget in Freshchat inbox.",The PipeDrive-Freshchat integration lets you access PipeDrive customer data inside your Freshchat inbox.,Free,Published by Artis,About over 2 years ago in,"Works with
             
                  Freshdesk Messaging",Verified by Freshworks,"mailto:support@artissol.com, https://artissol.freshdesk.com",,https://www.freshworks.com/apps/freshchat/pipedrive_1/
2022-01-08,07:01:26 PM,Kaleyra for Freshdesk Europe,"https://d3h0owdjgzys62.cloudfront.net/images/76702/live_screenshot/large2x/Contact_Blacklist_Page.png, https://d3h0owdjgzys62.cloudfront.net/images/76702/live_screenshot/large2x/Modal_Send_SMS_in_Ticket.png, https://d3h0owdjgzys62.cloudfront.net/images/76702/live_screenshot/large2x/Ticket_Detail_Page_Frame.png",https://d3h0owdjgzys62.cloudfront.net/images/76702/live_cover_art/thumb2x/kaleyra_app_img.png,"Chat, Video & Telephony","KMS is an online SMS platform, by Kaleyra, that can send messages to your desired Freshdesk contacts in a few clicks.
By using ""Kaleyra for Freshdesk Europe"" your Freshdesk Contacts and Tickets will be equipped with SMS features.

With this tool you will be able to:

     - Compose custom SMS, through a friendly interface, from Contacts or Tickets detail page;
     - Allows to send automatic SMS notification about ticket status, when it’s changed, to the contact;
     - Configure webhooks within more complex flow rules for more specific SMS notifications;
     - Add specific contact in a SMS Blacklist.

SMS message management is very simple and intuitive. The SMS template can be customized and adapted to all your needs, in specific variants for each ticket workflow rule.
Supported prefixes are:
     - Austria +43;
     - Belgium: +32;
     - Brazil: +55;
     - Croatia: +385;
     - France: +33;
     - Germany: +49;
     - Ireland: +353;
     - Italy: +39;
     - Luxembourg: +352;
     - Malta: +356;
     - Mexico: +52;
     - Moldavia: +373;
     - Portugal: +351;
     - Romania: +40;
     - Serbia: +381;
     - Slovenia: +386;
     - Slovak Republic: +421;
     - Spain: +34;
     - Switzerland: +41;
     - United Kingdom: +44.","Sending ticket updates via SMS

You can configure your Freshdesk account to send messages in multiple use cases.
By default, the integration allows you to send SMS for each ticket status update, but you can customize it more in depth. Below you can see an example of how-to setup an SMS notification to the contact after a ticket has been updated.
     1. Click ""Admin"" (Gear Icon on the side bar on the left).
     2. Then ""Automations"" under ""Helpdesk Productivity"" section.
     3. Select between ""Ticket Creation"" and ""Ticket Updates"" tab under ""Rules that run on:""
     4. Click on ""New Rule""
     5. After setting-up the criteria which should trigger the SMS message in the ""Perform these actions"" section, select: Trigger webhook
          a. N.B. The events ""Ticket is Updated"" and ""Note is added Private Note"" will not produce any SMS. Make sure you do not use them.
     6. In the section that appears configure as follows:
          a. Request Type: POST
          b. URL: URL provided in the configuration page (this will appear after the application is installed).
          c. Encoding: JSON
          d. Content:(select the advanced choice) Put this example payload
               a. N.B. DO NOT EDIT ""contact_id"", ""event"" AND ""ticket_id"" KEYS

{
     ""event"": ""${{triggered_event}}"",
     ""to"": ""{{ticket.contact.mobile}}"",
     ""message"": ""Your message"",
     ""contact_id"": {{ticket.contact.id}},
     ""ticket_id"": {{ticket.id}}
}

N.B. For correct operation, copy and paste the following example and replace ""Your SMS"" with the
message you want. Within the message you can enter all the placeholders you want e.g.:
""message"": ""Hi {{ticket.contact.name}}, your ticket {{ticket.subject}} has been updated"".",This plug-in allows you to send SMS and notifications to your Freshdesk contacts in a few clicks.,Free,Published by CRM Partners Italy,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:apps.freshworks@crmpartners.it, https://www.crmpartners.it/",,https://www.freshworks.com/apps/freshdesk/kaleyra_for_freshdesk_europe/
2022-01-08,07:01:37 PM,SAP Transport Management,"https://player.vimeo.com/video/452323377, https://d3h0owdjgzys62.cloudfront.net/images/07903/live_screenshot/large2x/sap_freshservice_transport_data_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/07903/live_screenshot/large2x/sap_freshservice_transport_list_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/07903/live_screenshot/large2x/sap_freshservice_create_transport_popup_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/07903/live_screenshot/large2x/sap_freshservice_create_transport_freshservice.png",https://d3h0owdjgzys62.cloudfront.net/images/07903/live_cover_art/thumb2x/logofreshsap.png,"Agent Productivity,, Data Sync & Migration","The SAP Transport Management application helps your developers and change managers handle their SAP transports directly in Freshservice. For example, the creation of the transport itself should always be triggered by a change in the document status (e.g. from ""Created"" to ""In Development""). This is to ensure maximum traceability and transparency by giving the information to all parties at the same time.

Nothing needs to be installed or modified on your SAP system. This is a ""Plug & Play"" solution.

Want to see it in action? Follow this link: https://freshsap.xbpmn.com/knowledgebase.php?article=1

With this app, directly from your Freshservice account, you can:

* Create a Transport Request in the SAP system;
* Delete a transport in the SAP system;
* Remove a transport from the list in case it has already been deleted in the SAP system;
* Retrieve and/or Update transport information in the SAP system;
* Create a Transport of Copies for an existing transport linked to the Freshservice change;
* Release a transport when all tasks have been released in SAP.

If you have other requirements in mind, please share them with our support team!",You will find our step-by-step detailed procedure here: https://freshsap.xbpmn.com/knowledgebase.php?article=2.,"Integrate SAP Transport Management with Freshservice. Simple Plug & Play, no SAP changes needed.",Paid,,About 4 months ago in,"Works with
             
                  Freshservice",Verified by Freshworks,"mailto:freshsap@xbpmn.com, https://freshsap.xbpmn.com/",,https://www.freshworks.com/apps/freshservice/sap_transport_management/
2022-01-08,07:02:21 PM,Zoom,"https://d3h0owdjgzys62.cloudfront.net/images/51583/live_screenshot/large2x/Zoom_1_at_1.46.52_PM_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/51583/live_screenshot/large2x/Zoom_2_2021_08_09_at_1.53.41_PM_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/51583/live_screenshot/large2x/Zoom_3_2021_08_09_at_2.06.02_PM_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/51583/live_screenshot/large2x/Zoom_4_2021_08_09_at_12.55.23_PM_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/51583/live_screenshot/large2x/Zoom_5_2021_08_09_at_2.14.57_PM_freshworks_crm.png",https://d3h0owdjgzys62.cloudfront.net/images/51583/live_cover_art/thumb2x/Zoom_with_bg.png,"Agent Productivity,, Chat, Video & Telephony","""Schedule a Zoom meeting from your contact, deal, or account landing page. Close deals faster by seamlessly meeting with your customers and efficiently managing your sales calls. Turn every meeting booked in your CRM into a Zoom meeting.

The activities dashboard in the CRM gives you details of all the meetings that you’re a part of. This way, you don’t have to switch tabs to create a meeting from your calendar.

Zoom on the Go:
Never miss a business opportunity as you can use the CRM mobile app to join Zoom meetings from your mobile phone.
Supercharge your productivity by making use of this integration.""","1. Log into Zoom Marketplace as an Admin.
2. Approve Freshsales Suite on Zoom Marketplace.
3. In the CRM, navigate to personal user settings page.
4. Click on Calendar and Conferencing.
5. Connect your Zoom account with the CRM.
6. You will be redirected to authentication page.
7. Allow the CRM access to your Zoom account.
8. Click on Save.
9. You can now schedule meetings from the CRM.",Schedule and join Zoom meetings from the CRM.,Free,Published by Freshsales,About 9 months ago in,"Works with
             
                  Freshsales Suite",Verified by Freshworks,"mailto:crm-support@freshworks.com, https://crmsupport.freshworks.com/support/home",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshworks_crm/zoom_fsales/
2022-01-08,07:02:56 PM,Freshservice,"https://d3h0owdjgzys62.cloudfront.net/images/69482/live_screenshot/large2x/add_note_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/69482/live_screenshot/large2x/new_ticket_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/69482/live_screenshot/large2x/no_ticket_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/69482/live_screenshot/large2x/contact_page_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/69482/live_screenshot/large2x/account_page_freshworks_crm.png",https://d3h0owdjgzys62.cloudfront.net/images/69482/live_cover_art/thumb2x/Freshservice.png,"Data Sync & Migration,, Lead Intelligence & Information","Install this app to enable your service and sales teams to remain in sync. 

This integration enables Freshworks CRM agents to do the following from the accounts and contact details page:

1. View Freshservice tickets created by a customer and add notes to them
2. Create new Freshservice tickets on behalf of the customer

This app also supports Contact and Account sync from Freshservice to Freshsales Suite. The user can also map the fields in the way they wish from Freshsales Suite to Freshservice. For example, if a user wants the phone number field in Freshservice to be synced as a work number or personal number in Freshsales Suite, this app provides the ability to do it. You need to install the “FCRM Contacts Sync” app on the Freshservice account to enable this functionality.","Pre-Installation:

In order to install the Freshservice app in Freshsales Suite, you will need your Freshservice & Freshsales Suite API Keys:

Freshsales Suite API Key

1. Log in to your Freshsales Suite account, click your profile image at the top-right corner.
2. Select ""Settings"".
3. Select the API settings tab on the settings page. You'll find your API key on the API settings tab. Resolve the captcha and copy the API key to your clipboard.

Freshservice API Key

1. Log in to your Freshservice account, click your profile image at the top-right corner.
2. Select ""Profile Settings"".
3. The API key is available on the right side of the panel. Resolve the captcha and copy the API key to your clipboard.

App Installation

1. Log in to your Freshsales Suite account as an administrator.
2. Go to Admin→Settings → Apps → Search for the “Freshservice” app and click Install.
3. On the app settings page, enter your Freshservice and Freshsales Suite domains and API keys.
4. Click Install.","View, create Freshservice tickets, and add notes to them without moving out of Freshsales Suite.",Free,,About about 1 year ago in,"Works with
             
                  Freshsales Suite",Verified by Freshworks,"mailto:freshworks@agiratech.com, https://www.agiratech.com/contact-us",https://www.agiratech.com/privacy-policy,https://www.freshworks.com/apps/freshworks_crm/freshservice_1/
