date,time,name,images,logo,category,details,features,tagline,priceline,developer,timeline,ratings_count,rating,installs,help,tags,editions,platform,url
2022-01-09,12:01:38 AM,Zoho CRM for Zoho Invoice,"https://mp-img1.zoho.com/view/extension/167000003887545, https://mp-img2.zoho.com/view/extension/167000003887547, https://mp-img2.zoho.com/view/extension/167000003887549, https://mp-img3.zoho.com/view/extension/167000003887551",https://mp-img1.zoho.com/view/logo/1045ca87-7ef9-464a-b922-9e6e7e1ef901,Sales,Give the sales team a 360-degree view of your customer data with the Zoho Invoice integration. Automatic sync for contacts and items means your team never has to enter the same information twice.,"Sync customer data from Zoho Invoice and provide all the necessary information to the sales team—including customers' contact details and transaction history—in one place. Create estimates and invoices for your customers directly from Zoho CRM, without having to switch between apps. Sync all your items in Zoho Invoice with your products in Zoho CRM. Set up triggers to create estimates or invoices automatically based on the potential's stage in Zoho CRM",Bridge the gap between your sales and finance teams.,Free,Invoice,"Nov 8, 2021",0.0,0,0,https://www.zoho.com/invoice/help/integrations/crm-integration.html,"Customer Relationship, Online Sales CRM, Zoho CRM, Zoho Invoice",Free,Built-in App,https://marketplace.zoho.com/app/invoice/zoho-crm-for-zoho-invoice
2022-01-09,12:01:40 AM,Streams for Zoho,"https://mp-img1.zoho.com/view/extension/167000001200613, https://mp-img2.zoho.com/view/extension/167000001200615, https://mp-img2.zoho.com/view/extension/167000001200617, https://mp-img3.zoho.com/view/extension/167000001200619",https://mp-img1.zoho.com/view/logo/ab7f89ab-f745-46d0-99f4-08881a6ef6d4,Telephony,"PanTerra is the leader in delivering secure, unified, and business-class cloud services including unified communications, team messaging, file sync and share, and business analytics to mid-market enterprises.","When you receive or initiate a call to a contact via Streams, you can see a business card view of the contact in Zoho. All calls made or received via Streams are automatically logged (based on Admin settings) in Zoho, and you can view the call logs at anytime.. Built-in Click to Call functionality inside Zoho accountYou can add follow-up activities at the end of every call from Zoho.",ALL-IN-ONE COMMUNICATIONS CLOUD INDUSTRY,Free,Recruit,"May 13, 2019",5.0,3,3,https://streams.us/crm/zoho/marketplace/integration.html,Telephony,"Standard, Professional, Enterprise, Zoho One, People Plus",Phonebridge,https://marketplace.zoho.com/app/recruit/streams-for-zoho-crm
2022-01-09,12:01:48 AM,Zoho CRM for Zoho People,"https://mp-img1.zoho.com/view/extension/167000002637350, https://mp-img2.zoho.com/view/extension/167000002637352, https://mp-img2.zoho.com/view/extension/167000002637354",https://mp-img1.zoho.com/view/logo/b3a15575-aefb-4342-9f66-0507b93ce734,HRIS / HCM / HRMS,"Client relationship management for your projects in Zoho People.This extension allows you to import your leads, customers and contacts from Zoho CRM to Zoho People as clients. You can manage projects for your clients and assign employees to work on them, track time, create timesheets for them using Zoho People.","Transfer data from CRM to People, seamlessly. View the details of client projects and jobs from CRM",Client relationship management for your projects in Zoho People,Free,People,"Jul 26, 2020",0.0,0,0,https://www.zoho.com/people/help/adminguide/integration-zohocrm.html,"Time sheets, Time tracking, Projects, Zoho CRM, Clients","Free, Essential HR Edition, Professional Edition, Premium Edition, Enterprise Edition, People Plus Plan, Zoho One Enterprise Edition",Built-in App,https://marketplace.zoho.com/app/people/zoho-crm-for-zoho-people
2022-01-09,12:02:01 AM,Google Drive for Zoho BugTracker,"https://mp-img1.zoho.com/view/extension/167000002014199, https://mp-img2.zoho.com/view/extension/167000002014201, https://mp-img2.zoho.com/view/extension/167000002014203, https://mp-img3.zoho.com/view/extension/167000002014205",https://mp-img1.zoho.com/view/logo/4434fbef-2378-4f95-8976-ae6936b5f8e6,Collaboration,"The Google Drive extension for Zoho BugTracker lets you access your Google Drive and Google shared drive accounts within BugTracker. You no longer have to import files to your Zoho BugTracker account and reattach them to the relevant module. This will save you time, especially if you are dealing with a large number of customers.","You can now use our attachment picker to access files in your Google Drive from multiple locations inside Zoho BugTracker, including the bugs, feed, comments, and documents modules. Access your Google Drive and Google shared drive accounts from anywhere within Zoho BugTracker. Manage files effectively. Attach files to issues quickly and securely",Access your Google Drive and Google shared drive files and associate them with a work item in Zoho BugTracker,Free,BugTracker,"Feb 3, 2020",0.0,0,0,https://www.zoho.com/bugtracker/help/google-drive-for-zoho-bugtracker.html,Collaboration,"Free, Standard, Premium",Sigma,https://marketplace.zoho.com/app/bugtracker/google-drive-for-zoho-bugtracker
2022-01-09,12:02:09 AM,RingCentral Office@Hand from AT&T,"https://mp-img1.zoho.com/view/extension/167000000016179, https://mp-img2.zoho.com/view/extension/167000000016181, https://mp-img2.zoho.com/view/extension/167000000016183",https://mp-img1.zoho.com/view/logo/4a481e31-888e-4723-a975-0bd841d29b35,Telephony,"With automatic call logging, single-click dialling, and screen pop-ups for incoming calls, you can now handle all your phone calls and get the context you need for better-quality calls, right inside Zoho.Communicate better with your customers with Zoho CRM for Office@Hand, an integrated cloud telephony solution for small to medium-sized businesses.","Click to callSave time toggling between screens and improve productivity with Office@Hand's one-click calling feature within Zoho. Our integration makes calls with context hassle-free.. Give context to your contactsGet caller insights at a glance with on-screen pop-ups that display your contacts' history and information whenever they call you. Save new callers as leads or contacts, and save your follow-up actions like adding notes and tasks for each call without ever having to leave Zoho.. Advanced call featuresCombine professional, IP-based voice calling with advanced call features, including multi-level auto-attendant (IVR), call monitoring and hot desking.. Call logs on hand, not by handNo need to keep manual records of who called when. Track your call details automatically into Zoho. Obtain call details and analytics any time with the help of Reports in Zoho.",Integrate Zoho with a cloud-based business phone system designed for small businesses.,Free,Bigin,"Jul 6, 2016",4.5,,,,Telephony,"Free, Express, Zoho One",Phonebridge,https://marketplace.zoho.com/app/bigin/office-at-hand
2022-01-09,12:02:17 AM,Microsoft QnA Maker for Zoho Desk,"https://mp-img1.zoho.com/view/extension/167000003920003, https://mp-img2.zoho.com/view/extension/167000003920005, https://mp-img2.zoho.com/view/extension/167000003920007, https://mp-img3.zoho.com/view/extension/167000003920009",https://mp-img1.zoho.com/view/logo/9a1d3919-3557-4a0b-965d-593487af80c2,Sales & Marketing,The QnA Maker extension for Zoho Desk lets you access AI bots in Zoho Desk which can answer your queries. Any bots created in your Microsoft cognitive services can be linked with Zoho Desk with an API call.,"Integrate your bot with Zoho Desk with just an API call. Select or alter your bot's data source from your Microsoft account at any time. Agents can get answers to the customer queries within the tickets. Get rid of searching documents for answers, the bot will get the answers for you",Get Microsoft cognitive services integrated with Zoho Desk,Free,Desk,"Nov 11, 2021",0.0,0,0,https://help.zoho.com/portal/en/kb/desk/for-administrators/integrations-and-add-ons/articles/microsoft-qna-maker-for-zoho-desk,"Microsoft Bot, Azure Bot, Knowledge base, QnA Maker","Professional, Enterprise, CRM Plus, Zoho One",Sigma,https://marketplace.zoho.com/app/desk/microsoft-qna-maker-for-zoho-desk
2022-01-09,12:02:23 AM,ServiceDesk Plus,"https://mp-img1.zoho.com/view/extension/167000000010103, https://mp-img2.zoho.com/view/extension/167000000010105",https://mp-img1.zoho.com/view/logo/d99f5aec-9732-4659-bfce-b76454705dbd,IT and Administration,"With ServiceDesk Plus' integration with Cliq, technicians and end users alike can do basic searches, track open requests, and raise incidents or service requests from any chat window.","Create incidents and service requests.. Search for requests in real time based on subject, ticket ID or number, and email.. List a user's open requests.","Create incidents or service requests, track open requests, and search via Cliq.",Free,Cliq,"Jul 13, 2017",5.0,1,1,,IT and Administration,"Free, Unlimited",Sigma,https://marketplace.zoho.com/app/cliq/servicedesk-plus
2022-01-09,12:02:32 AM,Alegra for Zoho Desk powered by Zoho Flow,"https://mp-img1.zoho.com/view/extension/167000002572321, https://mp-img2.zoho.com/view/extension/167000002572323, https://mp-img2.zoho.com/view/extension/167000002572325, https://mp-img3.zoho.com/view/extension/167000002572327",https://mp-img1.zoho.com/view/logo/addbfd63-60b2-4028-94a8-99486453ec48,Finance,"Alegra is online invoicing software for small businesses. With this extension, you can send branded invoices, track expenses, and enable recurring invoices to manage subscriptions.Using Alegra for Zoho Desk powered by Zoho Flow, customer support agents can easily create tickets for Alegra customers, share invoices, update estimate information, and track the payment activity without leaving Zoho Desk.",New contacts and invoices in Alegra are added as new contacts and tickets in Zoho Desk respectively. New Products added in Alegra are added as new records in the Product module in Zoho Desk.. Payment updates in Alegra are updated in Zoho Desk tickets as comments.. New estimates in Alegra are updated as comments on the respective contact in Zoho Desk with estimate amount and other details of the estimate.,"Managing contacts, accounts, and invoices made simple through Zoho Flow.",Free,Desk,"Jul 19, 2020",0.0,0,0,https://writer.zoho.com/writer/open/kys4cff376f9a1ea447288bea67daefb54930,"Alegra, Estimate, Invoices","Standard, Professional, Enterprise, CRM Plus, Zoho One",API,https://marketplace.zoho.com/app/desk/alegra-for-zoho-desk-powered-by-zoho-flow
2022-01-09,12:02:41 AM,MailChimp,"https://mp-img1.zoho.com/view/extension/167000002623723, https://mp-img2.zoho.com/view/extension/167000002623725, https://mp-img2.zoho.com/view/extension/167000002623727",https://mp-img1.zoho.com/view/logo/cc4990bd-d09a-482d-9c61-ee8130cedf07,Marketing,The Zoho Analytics Advanced Reporting Add-on for MailChimp enables you to easily analyze your email marketing campaign data present in MailChimp. Derive insights on your MailChimp data through the powerful reporting and analytical capabilities of Zoho Analytics.,"Zoho Analytics provides you with more than 50 hand-picked, ready made reports & dashboards.. Build insightful reports and dashboards with the easy drag-and-drop interface.. The MailChimp data gets synced automatically into Zoho Analytics.. Share and publish reports with fine-grained access controls.",Advanced Analytics Add-on for MailChimp,Paid,Analytics,"Jan 18, 2017",4.5,,,https://www.zoho.com/reports/help/mailchimp.html,Marketing,"Basic, Standard, Premium, Enterprise",API,https://marketplace.zoho.com/app/reports/mailchimp-reports
2022-01-09,12:02:50 AM,Google Photos for Zoho Campaigns,"https://mp-img1.zoho.com/view/extension/167000002779971, https://mp-img2.zoho.com/view/extension/167000002779973, https://mp-img2.zoho.com/view/extension/167000002779975, https://mp-img3.zoho.com/view/extension/167000002779977",https://mp-img1.zoho.com/view/logo/0054fc3d-8753-4a54-b02a-6b3b0e8560d5,Marketing,"Zoho Campaigns integrates with Google Photos to help you choose the right image to support your emails, whatever the content.","Zoho Campaigns helps you import images from Google Photos.. Images added from Google Photos to your Zoho Campaigns templates will be responsive, thus looking good on multiple devices.. Use the images to create eye-catching email newsletters.",An online photo sharing and storage service,Free,Campaigns,"Sep 13, 2020",0.0,0,0,https://help.zoho.com/portal/en/kb/campaigns/user-guide/integrations/integrate-with-image-hosting-sites/articles/how-to-integrate-with-image-hosting-services#Integrate_with_Google_Photos,"integration with google photos, Import images, Images for newsletters, Images in emails","Free, Subscription, Pay as you go, CRM Plus, Zoho One",Sigma,https://marketplace.zoho.com/app/campaigns/google-photos-for-zoho-campaigns
2022-01-09,12:02:52 AM,Workphone for Zoho Desk,"https://mp-img1.zoho.com/view/extension/167000000422895, https://mp-img2.zoho.com/view/extension/167000000422897, https://mp-img2.zoho.com/view/extension/167000000422899",https://mp-img1.zoho.com/view/logo/8b18ec27-de85-4e95-be05-c46960b583cd,Telephony & SMS,Workphone is a service for business communication that does not require any hardware or specialized software. We make it easy for small businesses to deliver superior customer service at much lower cost. There are no up-front costs or long-term commitments and no infrastructure to manage with our Integrated PABX/contact center. Customers pay by the minute only for external calls.Workphone leverages your smartphones for the cloud voice service. You can create your enterprise contact center in less than 5 minutes. The Workphone extension for Zoho Desk enables your agents to communicate with your customers from inside Zoho Desk. They can make and receive calls using our app or their phone.,"Forward calls to an agent's phone by adding ""WORK"" (or your Business' Name) to the CallerID.. Create unlimited custom group extensions (such as Sales, Support, or Deployment) and make group calls from the smartphone app. These group calls are entirely free.. Any agent can join group calls once a call is activated and anyone can initiate a group call.",Workphone is a cloud service for PBX/PABX/contact center that leverages smartphones,Free,Desk,"Aug 31, 2018",0.0,0,0,https://workphone.io/integrations-zoho-desk.html,Telephony,"Professional, Enterprise, CRM Plus, Zoho One",Phonebridge,https://marketplace.zoho.com/app/desk/workphone-for-zoho-desk
2022-01-09,12:03:11 AM,Ring.io for Zoho,"https://mp-img1.zoho.com/view/extension/167000001048125, https://mp-img2.zoho.com/view/extension/167000001048127, https://mp-img2.zoho.com/view/extension/167000001048129, https://mp-img3.zoho.com/view/extension/167000001048131",https://mp-img1.zoho.com/view/logo/3943e755-996a-48d1-bac3-11c847a68374,Telephony,"Ring.io replaces your current phone system with a seamlessly integrated and easy to use telephony  solution. Ring.io's Zoho CTI Integration helps sales teams boost productivity team-wide with Zoho integrated  telephony features. Grow revenue with powerful telephony in Zoho. Ring.io for Zoho connects your  sales rep to the lead, account or contact being called. The integration increases sales productivity with the ability to click seamlessly through leads to  significantly increase the number of calls your reps make. Get screen pops with useful information  about your leads, prospects, and customers so you can deliver better interactions and make every  call a success.",Click to call from Zoho.. Improve the caller experience by routing inbound calls using Zoho record fields.. Record calls for training and coaching. Automatically log call data to the right fields and objects.,Ring.io Power Dialer for Zoho,Free,Bigin,"Feb 21, 2019",5.0,5,5,http://www.ring.io/solutions/zoho,Telephony,"Free, Express, Zoho One",Phonebridge,https://marketplace.zoho.com/app/bigin/ring-io-for-zoho-crm
2022-01-09,12:03:17 AM,OneDrive For Zoho Mail,"https://mp-img1.zoho.com/view/extension/167000000455401, https://mp-img2.zoho.com/view/extension/167000000455403",https://mp-img1.zoho.com/view/logo/2be28be9-b6de-4b99-bbb6-28e131d35195,File sharing & Collaboration,OneDrive is a popular file hosting service. Integration of Zoho Mail with OneDrive accomplishes import/ export of your OneDrive files to Zoho Mail in just a few clicks. Access all your OneDrive files from within your inbox in Zoho Mail. Automate a workflow to upload your attachments from Zoho Mail to the OneDrive folder of your choice.,Add files from your OneDrive account as attachment while composing emails.. Automatically upload received attachments to OneDrive using Filter actions.. Add files from your OneDrive account as attachment while composing emails.,Seamless integration of Zoho Mail with OneDrive,Free,Mail,"Sep 11, 2018",5.0,1,1,"https://www.zoho.com/mail/help/incoming-filters.html#alink7, https://www.zoho.com/mail/help/attachments.html#cloudattachment",Collaboration,"Standard, Professional, Enterprise",Built-in App,https://marketplace.zoho.com/app/mail/onedrive-for-zoho-mail
2022-01-09,12:03:23 AM,Phone.com for Zoho,"https://mp-img1.zoho.com/view/extension/167000001043033, https://mp-img2.zoho.com/view/extension/167000001043035, https://mp-img2.zoho.com/view/extension/167000001043037, https://mp-img3.zoho.com/view/extension/167000001043039",https://mp-img1.zoho.com/view/logo/2d997afb-6e0a-439e-8f08-d094a81dce73,Telephony,"No more leaking leads with Phone.com and Zoho. Auto populate fields with lead information and keep track of every call, every time. Save time and maximize productivity with Phone.com and Zoho .","Connecting with customers means treating them like people, not leads.. Automatically convert calls to leads and Click to Call functionality.. With Phone.com and Zoho you can get past the call management and onto the relationship that makes for successful sales.. Reminders to help keep those calls on time and on subject and Greet callers by name for that extra touch of customer service.",Quickly integrate your Phone.com account with Zoho and maximize your productivity,Free,Desk,"Feb 19, 2019",1.0,1,1,https://integrations.phone.com/crm/zoho/doc/customer-admin-guide,Telephony,"Professional, Enterprise, CRM Plus, Zoho One",API,https://marketplace.zoho.com/app/desk/phone-com-for-zoho-crm
2022-01-09,12:03:29 AM,Teamwork Projects for Zoho Analytics,"https://mp-img1.zoho.com/view/extension/167000000977099, https://mp-img2.zoho.com/view/extension/167000000977101, https://mp-img2.zoho.com/view/extension/167000000977103, https://mp-img3.zoho.com/view/extension/167000000977105",https://mp-img1.zoho.com/view/logo/1c53397b-d918-4561-9637-bd6ae238cd1d,Collaboration,"The Zoho Analytics Advanced reporting connector for Teamwork Projects enables you to conduct powerful analysis of your projects data. Track key project performance metrics and make informed business decisions to optimize project execution. Easily create project status reports, billing reports, burn down reports, projected revenue reports, top-bottom performers reports, and more.","Zoho Analytics provides more than 50 hand-picked, ready-made reports and dashboards. Data is automatically synced with Zoho Analytics. Easily build insightful reports and dashboards with the drag-and-drop interface. Combine data from multiple sources to create cross functional reports and dashboards and also Share and publish reports with precise access controls",Seamless integration of Zoho Analytics with Teamwork Projects,Paid,Analytics,"Feb 18, 2019",0.0,0,0,https://www.zoho.com/analytics/help/connectors/teamwork.html,"Tasks analytics, Member Performance analytics, Sharing & Collaboration, Collaboration, Project Reports","Basic, Standard, Premium, Enterprise",API,https://marketplace.zoho.com/app/reports/teamwork-projects-for-zoho-analytics
2022-01-09,12:03:34 AM,Hirist,https://mp-img1.zoho.com/view/extension/167000000111547,https://mp-img1.zoho.com/view/logo/8b2a1827-ff85-4af0-8cb4-7fa40f8f75c2,Job Boards,Hirist provides the perfect synergy between candidates and recruiters. Hirist offers an enhanced search for candidates looking out for jobs,It gives recruiters access to the ultimate experience of easily sourcing millions of candidates without juggling between platforms.. Hirist has been emerging as a go-to job board for recruiters across India.,Hirist provides a perfect synergy between the candidates and the recruiters.,Free,Recruit,"Dec 10, 2017",5.0,1,1,https://recruit.zoho.com/recruit/ShowSetup.do?tab=jobBoardsInteg&subTab=jblist,Job Boards,"Free, Standard, Professional, Enterprise, Zoho One, People Plus",Built-in App,https://marketplace.zoho.com/app/recruit/hirist
